"Channel 452"	"Channel 523"	"Channel 594"	"Channel 676"	"X (pixel)"	"Y (pixel)"	"X (microns)"	"Y (microns)"	"X__1"
122	0	11110	0	677	450	73.9284	49.14	NA
121	0	5033	0	678	449	74.0376	49.0308	NA
120	0	4873	0	679	448	74.1468	48.9216	NA
121	0	8061	0	680	448	74.256	48.9216	NA
124	156	13756	0	681	447	74.3652	48.8124	NA
123	0	12345	0	682	446	74.4744	48.7032	NA
123	0	11997	0	683	446	74.5836	48.7032	NA
119	0	9613	0	684	445	74.6928	48.594	NA
129	0	2264	0	685	444	74.802	48.4848	NA
125	0	999	0	686	444	74.9112	48.4848	NA
121	163	548	0	687	443	75.0204	48.3756	NA
120	0	308	234	688	442	75.1296	48.2664	NA
121	0	213	494	689	442	75.2388	48.2664	NA
119	0	902	432	690	441	75.348	48.1572	NA
123	0	1372	0	691	440	75.4572	48.048	NA
123	0	1258	195	692	440	75.5664	48.048	NA
119	0	511	251	693	439	75.6756	47.9388	NA
123	0	487	0	694	438	75.7848	47.8296	NA
125	0	458	0	695	438	75.894	47.8296	NA
124	0	385	0	696	437	76.0032	47.7204	NA
127	0	280	0	697	436	76.1124	47.6112	NA
123	0	238	0	698	436	76.2216	47.6112	NA
125	0	159	0	699	435	76.3308	47.502	NA
133	0	0	220	700	434	76.44	47.3928	NA
125	0	0	0	701	434	76.5492	47.3928	NA
143	0	0	0	702	433	76.6584	47.2836	NA
129	0	0	0	703	432	76.7676	47.1744	NA
128	0	0	0	704	432	76.8768	47.1744	NA
122	0	0	207	705	431	76.986	47.0652	NA
122	174	0	280	706	430	77.0952	46.956	NA
123	221	192	235	707	430	77.2044	46.956	NA
123	253	399	235	708	429	77.3136	46.8468	NA
129	248	1287	0	709	428	77.4228	46.7376	NA
119	219	4147	0	710	428	77.532	46.7376	NA
124	0	10754	0	711	427	77.6412	46.6284	NA
124	0	3947	0	712	426	77.7504	46.5192	NA
130	0	2956	0	713	426	77.8596	46.5192	NA
123	0	1068	0	714	425	77.9688	46.41	NA
129	0	764	244	715	424	78.078	46.3008	NA
126	0	594	0	716	424	78.1872	46.3008	NA
129	0	287	0	717	423	78.2964	46.1916	NA
123	0	173	0	718	422	78.4056	46.0824	NA
0	170	168	0	719	422	78.5148	46.0824	NA
126	224	178	0	720	421	78.624	45.9732	NA
128	243	204	0	721	420	78.7332	45.864	NA
123	280	225	0	722	420	78.8424	45.864	NA
119	202	354	0	723	419	78.9516	45.7548	NA
120	157	725	0	724	418	79.0608	45.6456	NA
123	0	1181	0	725	418	79.17	45.6456	NA
0	0	2608	0	726	417	79.2792	45.5364	NA
125	0	2603	688	727	416	79.3884	45.4272	NA
123	0	2337	1623	728	416	79.4976	45.4272	NA
120	0	1428	3113	729	415	79.6068	45.318	NA
124	0	830	1214	730	414	79.716	45.2088	NA
125	0	681	348	731	414	79.8252	45.2088	NA
123	0	428	0	732	413	79.9344	45.0996	NA
120	0	194	0	733	412	80.0436	44.9904	NA
137	0	0	0	734	412	80.1528	44.9904	NA
125	0	0	0	735	411	80.262	44.8812	NA
125	0	0	0	736	410	80.3712	44.772	NA
122	0	161	0	737	410	80.4804	44.772	NA
124	0	202	0	738	409	80.5896	44.6628	NA
127	0	199	393	739	408	80.6988	44.5536	NA
124	0	220	1237	740	408	80.808	44.5536	NA
132	0	202	846	741	407	80.9172	44.4444	NA
126	0	235	213	742	406	81.0264	44.3352	NA
121	0	296	204	743	406	81.1356	44.3352	NA
119	0	269	0	744	405	81.2448	44.226	NA
132	0	544	0	745	404	81.354	44.1168	NA
123	0	436	0	746	404	81.4632	44.1168	NA
120	0	286	0	747	403	81.5724	44.0076	NA
124	0	340	0	748	402	81.6816	43.8984	NA
124	0	403	0	749	402	81.7908	43.8984	NA
120	0	412	0	750	401	81.9	43.7892	NA
120	0	317	0	751	400	82.0092	43.68	NA
0	0	426	0	752	400	82.1184	43.68	NA
0	0	495	0	753	399	82.2276	43.5708	NA
124	0	505	0	754	398	82.3368	43.4616	NA
126	0	535	609	755	398	82.446	43.4616	NA
119	0	277	325	756	397	82.5552	43.3524	NA
